id,date,user,pc,activity
{F8O1-T7JE00WW-5921IVVL},01/02/2010 14:05:23,ABC0174,PC-5156,Connect
{J1H4-Q3CQ48XP-9942QJAX},01/02/2010 14:26:09,ABC0174,PC-5156,Disconnect
{D7Y7-D2NF96UH-4061SPLW},01/02/2010 15:15:24,ABC0174,PC-5156,Connect
{V4G7-U0CC68YZ-2720BUYN},01/02/2010 15:54:00,ABC0174,PC-5156,Disconnect
{R8E3-A6AM97EP-9769VNJQ},01/02/2010 19:03:15,AOK0844,PC-4659,Connect
{I9I8-G9PZ24SM-9910BKMR},01/02/2010 19:09:24,AOK0844,PC-4659,Disconnect
{J3A4-Y1MM89JE-7886KVVU},01/03/2010 09:04:28,BDI0533,PC-5883,Connect
{N9V1-P6IS13IO-8583UYGB},01/03/2010 09:15:31,BDI0533,PC-5883,Disconnect
{D5B9-E3WH54LK-7259PYTC},01/03/2010 13:04:13,ATE0869,PC-1313,Connect
{O8R8-M4BW58IS-5957XMHG},01/03/2010 13:23:28,ATE0869,PC-1313,Disconnect
{D9H2-E0RX86BG-4082OMIP},01/03/2010 16:42:56,ATE0869,PC-1313,Connect
{O5J9-B6TO85II-3134NCXA},01/03/2010 17:08:03,ATE0869,PC-1313,Disconnect
{Y0Z4-H1NA83RC-2756XELM},01/04/2010 05:08:11,BAL0044,PC-5833,Connect
{B2X4-E2GG98ND-5328TNQB},01/04/2010 05:09:11,BAL0044,PC-5833,Disconnect
{W1P7-C1PU94YP-9524TUEA},01/04/2010 06:26:10,AJF0370,PC-7275,Connect
{T6U6-R8UX88QY-1515JJSJ},01/04/2010 06:26:40,AJF0370,PC-7275,Disconnect
{P3H4-E0XK74XS-3331PDLD},01/04/2010 07:08:35,AVM0947,PC-0285,Connect
{W3L4-J1LI62XZ-0679YVAO},01/04/2010 07:18:26,AVM0947,PC-0285,Disconnect
{E3C4-N1PN28BY-2415TDVE},01/04/2010 07:20:11,AIB0948,PC-8245,Connect
{H9W2-J9JX86GX-1243KNIJ},01/04/2010 07:52:50,AJF0370,PC-6956,Connect
{O9V1-P8JE41CV-2181OOMB},01/04/2010 07:54:08,AIB0948,PC-8245,Disconnect
{F9C2-P2JT36TK-1039ZVBL},01/04/2010 07:54:25,AJF0370,PC-6956,Disconnect
{F6E1-E2KG99NM-2100LPHS},01/04/2010 08:04:17,AJN0607,PC-8303,Connect
{W9P1-S5MT08NU-1674ISKX},01/04/2010 08:23:12,AJN0607,PC-8303,Disconnect
{V6D7-B8PB49YF-2627VLYC},01/04/2010 08:54:46,AIB0948,PC-8245,Connect
{L2W4-Z4QJ28QF-5118PYYD},01/04/2010 09:08:42,BBG0325,PC-6609,Connect
{T7X1-D9FN28BM-2924GYDL},01/04/2010 09:10:32,BJP0134,PC-0898,Connect
{Q7W3-Y6GZ13XE-3092EZVC},01/04/2010 09:11:35,BBG0325,PC-6609,Disconnect
{L8N2-B1MS85UD-3098CKPG},01/04/2010 09:12:29,AJF0370,PC-8651,Connect
{S7S0-I1VR23SY-1469QKKO},01/04/2010 09:14:49,AVM0947,PC-0285,Connect
{E0D8-F8VZ94TI-2105GJSE},01/04/2010 09:20:19,AIB0948,PC-8245,Disconnect
{J0O6-L3DL05VH-3103FQYS},01/04/2010 09:21:20,AJF0370,PC-8651,Disconnect
{A7W1-N5QQ99OR-1964ISWL},01/04/2010 09:25:15,BJP0134,PC-0898,Disconnect
{M4L8-M1SM66KR-8784RAVP},01/04/2010 09:28:02,AVM0947,PC-0285,Disconnect
