user_id,total_events,active_days,off_hours_events,off_hours_ratio,avg_events_per_day,logon,file,device,logon_ratio,file_ratio,device_ratio,if_score_default,if_flag_default,if_flag_tuned,if_score_tuned,lstm_recon_mse,lstm_score_norm,combined_score
AJF0370,22822,373,4586,0.200946455,61.1849866,3267,11053,8502,0.143151345,0.484313382,0.372535273,-0.183678538,-1,-1,-0.164642408,0.20754012,1,0.504166667
AAE0190,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AIS0405,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
BAK0964,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
ASG0692,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AWM0764,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AKC0924,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AKF0709,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AKH0758,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AKK0329,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
ATF0274,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AKW0167,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
ALC0788,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
ALD0544,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
ALH0402,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AMD0077,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AMH0464,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AMH0794,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AMJ0297,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AMM0014,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AMR0400,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AMV0036,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
ASS0206,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
ANP0555,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AOB0019,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
APG0307,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
ARB0881,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
ARL0034,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
ASD0577,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AJC0840,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
AJP0723,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
ASG0048,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
BER0314,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
BJH0354,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
BHW0458,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
BJW0619,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
ADD0846,692,346,0,0,2,692,0,0,1,0,0,0.292475598,1,1,0.311511729,3.66E-06,0,0.4
