user_id,lstm_recon_mse,lstm_score_norm
AJF0370,0.20754012,1.0
AAE0190,3.66356e-06,0.0
ANM0123,3.66356e-06,0.0
BAH0875,3.66356e-06,0.0
AWM0764,3.66356e-06,0.0
AVM0947,3.66356e-06,0.0
ATP0662,3.66356e-06,0.0
ATF0274,3.66356e-06,0.0
ATE0869,3.66356e-06,0.0
ASV0946,3.66356e-06,0.0
ASS0517,3.66356e-06,0.0
ASS0206,3.66356e-06,0.0
ASM0575,3.66356e-06,0.0
ASL0378,3.66356e-06,0.0
ASG0692,3.66356e-06,0.0
ASG0048,3.66356e-06,0.0
ASD0577,3.66356e-06,0.0
ASB0796,3.66356e-06,0.0
ARL0034,3.66356e-06,0.0
ARD0509,3.66356e-06,0.0
ARB0881,3.66356e-06,0.0
ARB0834,3.66356e-06,0.0
ARA0252,3.66356e-06,0.0
AQD0820,3.66356e-06,0.0
APG0307,3.66356e-06,0.0
AOS0987,3.66356e-06,0.0
AOK0844,3.66356e-06,0.0
AOB0019,3.66356e-06,0.0
ANT0430,3.66356e-06,0.0
BAJ0654,3.66356e-06,0.0
BAK0964,3.66356e-06,0.0
BAL0044,3.66356e-06,0.0
BER0314,3.66356e-06,0.0
BLL0929,3.66356e-06,0.0
BLB0114,3.66356e-06,0.0
BKW0374,3.66356e-06,0.0
BJW0619,3.66356e-06,0.0
BJP0134,3.66356e-06,0.0
BJM0111,3.66356e-06,0.0
BJH0811,3.66356e-06,0.0
BJH0354,3.66356e-06,0.0
BIS0247,3.66356e-06,0.0
BIH0745,3.66356e-06,0.0
BHW0458,3.66356e-06,0.0
BHC0665,3.66356e-06,0.0
BEH0615,3.66356e-06,0.0
BAM0611,3.66356e-06,0.0
BEC0505,3.66356e-06,0.0
BDV0168,3.66356e-06,0.0
BDI0533,3.66356e-06,0.0
BDB0453,3.66356e-06,0.0
BCR0581,3.66356e-06,0.0
BCM0653,3.66356e-06,0.0
BCB0679,3.66356e-06,0.0
BBS0422,3.66356e-06,0.0
BBS0039,3.66356e-06,0.0
BBH0810,3.66356e-06,0.0
BBG0325,3.66356e-06,0.0
BAM0636,3.66356e-06,0.0
ANP0555,3.66356e-06,0.0
AMW0392,3.66356e-06,0.0
AAF0535,3.66356e-06,0.0
ACV0812,3.66356e-06,0.0
AIH0675,3.66356e-06,0.0
AIB0948,3.66356e-06,0.0
AHM0410,3.66356e-06,0.0
AHG0634,3.66356e-06,0.0
AHD0848,3.66356e-06,0.0
AHC0142,3.66356e-06,0.0
AGB0643,3.66356e-06,0.0
AGB0186,3.66356e-06,0.0
AES0827,3.66356e-06,0.0
ADF0397,3.66356e-06,0.0
ADD0846,3.66356e-06,0.0
ADC0391,3.66356e-06,0.0
ACC0042,3.66356e-06,0.0
AIP0394,3.66356e-06,0.0
ABN0239,3.66356e-06,0.0
ABM0845,3.66356e-06,0.0
ABH0663,3.66356e-06,0.0
ABC0253,3.66356e-06,0.0
ABC0174,3.66356e-06,0.0
AAW0353,3.66356e-06,0.0
AAV0450,3.66356e-06,0.0
AAS0442,3.66356e-06,0.0
AAN0823,3.66356e-06,0.0
AAM0658,3.66356e-06,0.0
AAL0706,3.66356e-06,0.0
AAF0791,3.66356e-06,0.0
AIM0627,3.66356e-06,0.0
AIP0982,3.66356e-06,0.0
AMV0036,3.66356e-06,0.0
AKW0167,3.66356e-06,0.0
AMR0400,3.66356e-06,0.0
AMR0318,3.66356e-06,0.0
AMM0014,3.66356e-06,0.0
AMJ0297,3.66356e-06,0.0
AMH0794,3.66356e-06,0.0
AMH0464,3.66356e-06,0.0
AMD0077,3.66356e-06,0.0
ALH0402,3.66356e-06,0.0
ALD0544,3.66356e-06,0.0
ALD0529,3.66356e-06,0.0
ALC0788,3.66356e-06,0.0
ALB0892,3.66356e-06,0.0
AKR0057,3.66356e-06,0.0
AIS0405,3.66356e-06,0.0
AKK0329,3.66356e-06,0.0
AKH0758,3.66356e-06,0.0
AKF0709,3.66356e-06,0.0
AKC0924,3.66356e-06,0.0
AJR0932,3.66356e-06,0.0
AJR0319,3.66356e-06,0.0
AJP0723,3.66356e-06,0.0
AJN0607,3.66356e-06,0.0
AJL0462,3.66356e-06,0.0
AJH0175,3.66356e-06,0.0
AJD0074,3.66356e-06,0.0
AJC0840,3.66356e-06,0.0
BLS0678,3.66356e-06,0.0
